Species;lat;long
A. setosa;-49.070849;-27.004435
A. setosa;-49.070849;-27.004435
A. setosa;-49.070849;-27.004435
A. setosa;-49.070849;-27.004435
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070322;-27.004617
A. setosa;-49.070352;-27.004609
A. setosa;-49.070352;-27.004609
A. setosa;-49.070347;-27.004888
A. setosa;-49.070347;-27.004888
A. setosa;-49.069685;-27.004166
A. setosa;-49.069744;-27.004248
A. setosa;-49.06966;-27.004446
A. setosa;-49.069972;-27.004423
A. setosa;-49.069972;-27.004423
A. setosa;-49.069972;-27.004423
A. setosa;-49.069718;-27.004591
A. setosa;-49.06992;-27.004567
A. setosa;-49.06992;-27.004567
A. setosa;-49.06992;-27.004567
A. setosa;-49.06992;-27.004567
A. setosa;-49.06992;-27.004567
A. setosa;-49.06992;-27.004567
A. setosa;-49.070329;-27.004789
A. setosa;-49.070347;-27.004888
A. setosa;-49.070347;-27.004888
A. setosa;-49.070347;-27.004888
A. setosa;-49.070329;-27.004789
A. setosa;-49.070352;-27.004609
C. phalerata;-49.070322;-27.004617
C. phalerata;-49.070402;-27.004609
C. phalerata;-49.070493;-27.00462
C. phalerata;-49.070512;-27.004674
C. phalerata;-49.070063;-27.003233
C. phalerata;-49.069478;-27.003866
C. phalerata;-49.069801;-27.00443
C. phalerata;-49.069881;-27.004449
C. phalerata;-49.069991;-27.004522
C. phalerata;-49.070108;-27.004741
C. phalerata;-49.070128;-27.004759
C. phalerata;-49.070128;-27.004759
C. phalerata;-49.070115;-27.004912
C. phalerata;-49.070116;-27.004849
C. phalerata;-49.070116;-27.004849
C. phalerata;-49.070086;-27.004867
C. phalerata;-49.070026;-27.004848
C. phalerata;-49.06971;-27.00506
C. phalerata;-49.069722;-27.004311
C. phalerata;-49.069722;-27.004311
C. phalerata;-49.070128;-27.004759
C. phalerata;-49.06971;-27.00506
C. phalerata;-49.070352;-27.004609
C. phalerata;-49.070352;-27.004609
C. phalerata;-49.071138;-27.001668
C. phalerata;-49.071138;-27.001668
C. phalerata;-49.071138;-27.001668
C. phalerata;-49.070008;-27.002338
C. phalerata;-49.070008;-27.002338
C. phalerata;-49.069814;-27.002489
C. phalerata;-49.069716;-27.002921
C. phalerata;-49.069783;-27.003112
C. phalerata;-49.070151;-27.004606
C. phalerata;-49.070179;-27.004687
C. phalerata;-49.070265;-27.003217
C. phalerata;-49.070289;-27.002965
C. phalerata;-49.070232;-27.002793
C. phalerata;-49.069722;-27.004311
C. phalerata;-49.069814;-27.002489
